CH4
9_site_nonpolar
66
#TEMP #PRES #V #DENSITY
115.0 00.1 10176730.06271 0.00017
145.0 00.1 12895171.58966 0.00013
175.0 00.1 15499648.66758 0.00011
205.0 00.1 18028337.58080 0.00010
235.0 00.1 21003116.15098 0.00008
265.0 00.1 23435330.98471 0.00007
295.0 00.1 25975841.76345 0.00007
325.0 00.1 28770323.04880 0.00006
355.0 00.1 31257868.58162 0.00006
385.0 00.1 34176008.37386 0.00005
415.0 00.1 37052105.88081 0.00005
115.0 01.0 984083.61427 0.00176
145.0 01.0 1267629.97799 0.00137
175.0 01.0 1536743.06776 0.00113
205.0 01.0 1808096.67846 0.00096
235.0 01.0 2074238.75156 0.00084
265.0 01.0 2350986.89527 0.00074
295.0 01.0 2603161.97525 0.00067
325.0 01.0 2869423.26957 0.00060
355.0 01.0 3131056.76338 0.00055
385.0 01.0 3401970.44504 0.00051
415.0 01.0 3670310.88801 0.00047
115.0 05.0 160710.31703 0.01099
145.0 05.0 235554.91769 0.00737
175.0 05.0 295302.92009 0.00587
205.0 05.0 351847.20141 0.00492
235.0 05.0 409610.13238 0.00423
265.0 05.0 464954.83861 0.00373
295.0 05.0 522171.25215 0.00332
325.0 05.0 569121.35365 0.00304
355.0 05.0 628861.88511 0.00276
385.0 05.0 677428.00471 0.00256
415.0 05.0 735230.00805 0.00235
115.0 10.0 27944.21386 0.06132
145.0 10.0 103684.84895 0.01685
175.0 10.0 139426.13178 0.01247
205.0 10.0 170593.45118 0.01017
235.0 10.0 199984.17629 0.00867
265.0 10.0 229324.42027 0.00755
295.0 10.0 256403.57210 0.00675
325.0 10.0 284768.24347 0.00608
355.0 10.0 313803.97748 0.00552
385.0 10.0 338916.46235 0.00511
415.0 10.0 366078.63812 0.00473
115.0 20.0 11244.86253 0.15572
145.0 20.0 4016.08394 0.42470
175.0 20.0 61456.76351 0.02843
205.0 20.0 80225.81767 0.02171
235.0 20.0 96607.70382 0.01796
265.0 20.0 111664.70533 0.01554
295.0 20.0 126314.98115 0.01372
325.0 20.0 140696.41330 0.01231
355.0 20.0 155708.62499 0.01112
385.0 20.0 168767.05388 0.01027
415.0 20.0 183429.64600 0.00944
115.0 30.0 3875.40757 0.44012
145.0 30.0 4088.24318 0.41720
175.0 30.0 18228.67125 0.16564
205.0 30.0 48699.86110 0.03593
235.0 30.0 61301.56970 0.02835
265.0 30.0 72379.07890 0.02399
295.0 30.0 83151.95697 0.02087
325.0 30.0 93128.41813 0.01860
355.0 30.0 102501.49870 0.01690
385.0 30.0 112637.84259 0.01540
415.0 30.0 121732.04158 0.01424
