CH4
9_site_polar
66
#TEMP #PRES #V #DENSITY
115.0 00.1 10151779.59637 0.00017
145.0 00.1 12805251.45342 0.00014
175.0 00.1 15489772.46644 0.00011
205.0 00.1 18100984.53649 0.00010
235.0 00.1 20964447.93745 0.00008
265.0 00.1 23582116.77959 0.00007
295.0 00.1 26143683.32561 0.00007
325.0 00.1 28765860.39403 0.00006
355.0 00.1 31513246.74125 0.00005
385.0 00.1 34263701.44708 0.00005
415.0 00.1 36465308.72474 0.00005
115.0 01.0 982926.71121 0.00176
145.0 01.0 1269467.51380 0.00136
175.0 01.0 1533582.94029 0.00113
205.0 01.0 1788020.04349 0.00097
235.0 01.0 2061131.99948 0.00084
265.0 01.0 2350900.45006 0.00074
295.0 01.0 2604946.90303 0.00066
325.0 01.0 2878148.72378 0.00060
355.0 01.0 3176398.87845 0.00055
385.0 01.0 3402711.10215 0.00051
415.0 01.0 3679024.66121 0.00047
115.0 05.0 164169.51412 0.01065
145.0 05.0 235602.09165 0.00738
175.0 05.0 295003.48304 0.00588
205.0 05.0 354918.95044 0.00489
235.0 05.0 409642.76226 0.00423
265.0 05.0 465925.41571 0.00371
295.0 05.0 522530.76835 0.00331
325.0 05.0 577040.85909 0.00300
355.0 05.0 624665.43768 0.00277
385.0 05.0 677440.21500 0.00256
415.0 05.0 733971.31262 0.00236
115.0 10.0 57189.92290 0.02983
145.0 10.0 102880.38253 0.01700
175.0 10.0 163151.95536 0.01056
205.0 10.0 170817.78568 0.01015
235.0 10.0 199647.83118 0.00869
265.0 10.0 228904.19063 0.00757
295.0 10.0 257013.72505 0.00674
325.0 10.0 285463.01656 0.00606
355.0 10.0 311085.42786 0.00557
385.0 10.0 338545.88312 0.00512
415.0 10.0 365854.28082 0.00473
115.0 20.0 13697.53182 0.12447
145.0 20.0 4387.19959 0.38861
175.0 20.0 60468.40040 0.02898
205.0 20.0 79172.31230 0.02198
235.0 20.0 96433.35908 0.01800
265.0 20.0 110943.30004 0.01563
295.0 20.0 127588.59381 0.01358
325.0 20.0 141174.18061 0.01226
355.0 20.0 156129.13577 0.01109
385.0 20.0 169100.89546 0.01025
415.0 20.0 183007.63423 0.00946
115.0 30.0 8040.99366 0.21204
145.0 30.0 4749.49263 0.35897
175.0 30.0 4677.02700 0.36454
205.0 30.0 49090.77648 0.03564
235.0 30.0 61240.23918 0.02841
265.0 30.0 72303.10657 0.02403
295.0 30.0 83594.32629 0.02074
325.0 30.0 92936.21299 0.01866
355.0 30.0 102675.22696 0.01688
385.0 30.0 108102.91603 0.01577
415.0 30.0 121561.03564 0.01425
