CH4
trappe
66
#TEMP #PRES #V #DENSITY
115.0 00.1 10173268.84466 0.00017
145.0 00.1 12837266.32380 0.00013
175.0 00.1 15504777.09164 0.00011
205.0 00.1 18127491.57258 0.00010
235.0 00.1 20853428.52092 0.00008
265.0 00.1 23437743.09483 0.00007
295.0 00.1 26112677.95438 0.00007
325.0 00.1 28786030.29317 0.00006
355.0 00.1 31431301.33981 0.00006
385.0 00.1 34085064.23045 0.00005
415.0 00.1 36791198.72455 0.00005
115.0 01.0 990669.76302 0.00175
145.0 01.0 1268170.92483 0.00137
175.0 01.0 1537677.51267 0.00113
205.0 01.0 1808054.32480 0.00096
235.0 01.0 2074375.37198 0.00083
265.0 01.0 2340327.61758 0.00074
295.0 01.0 2604475.08118 0.00066
325.0 01.0 2876067.62824 0.00060
355.0 01.0 3149971.63275 0.00055
385.0 01.0 3406989.64969 0.00051
415.0 01.0 3674853.19138 0.00047
115.0 05.0 170617.97117 0.01023
145.0 05.0 237372.90348 0.00732
175.0 05.0 296972.71977 0.00584
205.0 05.0 353796.49318 0.00490
235.0 05.0 410038.24996 0.00423
265.0 05.0 463823.93091 0.00373
295.0 05.0 518656.32421 0.00334
325.0 05.0 572465.17098 0.00303
355.0 05.0 626582.53616 0.00277
385.0 05.0 680897.77006 0.00254
415.0 05.0 733258.24165 0.00236
115.0 10.0 4064.39952 0.41975
145.0 10.0 106813.18889 0.01634
175.0 10.0 140891.35359 0.01233
205.0 10.0 171643.07637 0.01010
235.0 10.0 200619.85203 0.00864
265.0 10.0 229422.93924 0.00756
295.0 10.0 257531.18595 0.00673
325.0 10.0 284581.48679 0.00609
355.0 10.0 312151.53888 0.00555
385.0 10.0 339449.28979 0.00510
415.0 10.0 365608.79290 0.00474
115.0 20.0 4117.09834 0.41446
145.0 20.0 4615.20457 0.37024
175.0 20.0 62028.65314 0.02822
205.0 20.0 80258.69424 0.02169
235.0 20.0 96330.78639 0.01802
265.0 20.0 111714.98423 0.01552
295.0 20.0 126537.35681 0.01370
325.0 20.0 140803.98370 0.01231
355.0 20.0 155007.78375 0.01118
385.0 20.0 168677.18473 0.01027
415.0 20.0 182572.51909 0.00949
115.0 30.0 3972.89693 0.42955
145.0 30.0 4600.06638 0.37136
175.0 30.0 32486.08322 0.05693
205.0 30.0 49592.81661 0.03522
235.0 30.0 61635.19115 0.02821
265.0 30.0 72527.23311 0.02394
295.0 30.0 82811.11395 0.02094
325.0 30.0 92649.65991 0.01871
355.0 30.0 102364.44145 0.01693
385.0 30.0 111964.35060 0.01547
415.0 30.0 121188.18256 0.01429
