CO2
PHAST
66
#TEMP #PRES #V #DENSITY
195.0 00.1 17309743.70589 0.00027
215.0 00.1 18993366.33215 0.00025
235.0 00.1 20759207.07481 0.00023
255.0 00.1 22570137.13675 0.00021
275.0 00.1 24299830.11802 0.00020
295.0 00.1 26196771.37423 0.00018
315.0 00.1 27827381.90461 0.00017
335.0 00.1 29795178.36827 0.00016
355.0 00.1 31529075.63945 0.00015
375.0 00.1 33059084.46763 0.00014
395.0 00.1 34922831.59872 0.00014
195.0 01.0 1687356.90801 0.00282
215.0 01.0 1883090.43562 0.00252
235.0 01.0 2064932.57190 0.00230
255.0 01.0 2238540.51774 0.00212
275.0 01.0 2423050.37003 0.00196
295.0 01.0 2601604.20998 0.00183
315.0 01.0 2778795.31260 0.00171
335.0 01.0 2967989.73322 0.00160
355.0 01.0 3131294.55736 0.00152
375.0 01.0 3318661.14548 0.00143
395.0 01.0 3493345.76142 0.00136
195.0 05.0 311343.06489 0.01533
215.0 05.0 355806.36155 0.01338
235.0 05.0 394164.71852 0.01208
255.0 05.0 433567.37078 0.01097
275.0 05.0 474019.39557 0.01004
295.0 05.0 510522.95597 0.00932
315.0 05.0 549710.85470 0.00865
335.0 05.0 585100.63931 0.00813
355.0 05.0 623225.17829 0.00762
375.0 05.0 658048.74356 0.00722
395.0 05.0 695167.32822 0.00684
195.0 10.0 120661.92049 0.04054
215.0 10.0 161252.99509 0.02974
235.0 10.0 187376.35639 0.02545
255.0 10.0 208493.53349 0.02287
275.0 10.0 229865.06276 0.02070
295.0 10.0 250026.81871 0.01902
315.0 10.0 269453.24657 0.01765
335.0 10.0 289431.84299 0.01644
355.0 10.0 307927.83683 0.01544
375.0 10.0 326028.91927 0.01457
395.0 10.0 344503.12457 0.01379
195.0 20.0 28773.82455 0.16282
215.0 20.0 25347.07430 0.18615
235.0 20.0 79226.53255 0.06067
255.0 20.0 94769.84656 0.05050
275.0 20.0 107431.20123 0.04444
295.0 20.0 118769.32068 0.04014
315.0 20.0 130190.38245 0.03658
335.0 20.0 139996.58025 0.03402
355.0 20.0 150045.40243 0.03174
375.0 20.0 160237.97663 0.02968
395.0 20.0 169810.46945 0.02799
195.0 30.0 13772.22294 0.34158
215.0 30.0 4149.69206 1.13177
235.0 30.0 4489.46204 1.04519
255.0 30.0 53825.82638 0.09007
275.0 30.0 66114.39716 0.07241
295.0 30.0 75140.35739 0.06361
315.0 30.0 82893.69580 0.05755
335.0 30.0 90548.82046 0.05260
355.0 30.0 98129.04214 0.04852
375.0 30.0 104735.27251 0.04546
395.0 30.0 112001.55944 0.04247
