CO2
PHAST_STAR
66
#TEMP #PRES #V #DENSITY
195.0 00.1 17184530.29829 0.00028
215.0 00.1 19009885.26808 0.00025
235.0 00.1 20939959.34096 0.00023
255.0 00.1 22534771.11734 0.00021
275.0 00.1 24365187.94857 0.00019
295.0 00.1 26012109.99598 0.00018
315.0 00.1 27863420.21286 0.00017
335.0 00.1 29609983.16337 0.00016
355.0 00.1 31640806.38258 0.00015
375.0 00.1 33220684.24631 0.00014
395.0 00.1 34709288.96045 0.00014
195.0 01.0 1703474.41323 0.00279
215.0 01.0 1889478.60936 0.00251
235.0 01.0 2069097.48364 0.00230
255.0 01.0 2236535.66881 0.00212
275.0 01.0 2422270.92978 0.00196
295.0 01.0 2612911.14088 0.00182
315.0 01.0 2807349.18692 0.00169
335.0 01.0 2970096.66587 0.00160
355.0 01.0 3125956.78573 0.00152
375.0 01.0 3319345.70507 0.00143
395.0 01.0 3490550.75550 0.00136
195.0 05.0 322647.70817 0.01476
215.0 05.0 363743.82914 0.01308
235.0 05.0 400357.38658 0.01188
255.0 05.0 438640.14043 0.01083
275.0 05.0 478237.86465 0.00994
295.0 05.0 514280.70489 0.00924
315.0 05.0 550549.06062 0.00864
335.0 05.0 588974.61133 0.00807
355.0 05.0 623581.88701 0.00761
375.0 05.0 659912.95184 0.00720
395.0 05.0 695295.26247 0.00683
195.0 10.0 145341.96695 0.03293
215.0 10.0 171124.63461 0.02786
235.0 10.0 192757.80293 0.02470
255.0 10.0 213081.56219 0.02234
275.0 10.0 234228.35715 0.02031
295.0 10.0 253372.52532 0.01878
315.0 10.0 271841.07308 0.01750
335.0 10.0 290023.08759 0.01639
355.0 10.0 310241.67949 0.01532
375.0 10.0 329868.98059 0.01442
395.0 10.0 346936.02771 0.01370
195.0 20.0 4688.79920 1.00178
215.0 20.0 73074.11878 0.06596
235.0 20.0 88294.65013 0.05414
255.0 20.0 99789.94215 0.04783
275.0 20.0 111817.83652 0.04261
295.0 20.0 122243.64405 0.03895
315.0 20.0 133274.61114 0.03569
335.0 20.0 143324.59103 0.03319
355.0 20.0 152855.58309 0.03111
375.0 20.0 163034.77085 0.02915
395.0 20.0 172145.13672 0.02760
195.0 30.0 4663.20140 1.00818
215.0 30.0 4718.83862 0.99515
235.0 30.0 51519.53839 0.09379
255.0 30.0 62280.05229 0.07696
275.0 30.0 70903.68221 0.06735
295.0 30.0 78929.66021 0.06044
315.0 30.0 86324.35511 0.05515
335.0 30.0 93419.10642 0.05097
355.0 30.0 100415.13731 0.04740
375.0 30.0 107148.82629 0.04440
395.0 30.0 113648.41736 0.04185
