CO2
TRAPPE
66
#TEMP #PRES #V #DENSITY
195.0 00.1 17265520.20860 0.00028
215.0 00.1 19010729.40160 0.00025
235.0 00.1 20819477.34838 0.00023
255.0 00.1 22545687.79884 0.00021
275.0 00.1 24384956.39846 0.00019
295.0 00.1 26096005.46941 0.00018
315.0 00.1 27916221.13425 0.00017
335.0 00.1 29670456.64572 0.00016
355.0 00.1 31322531.66857 0.00015
375.0 00.1 33287875.34024 0.00014
395.0 00.1 35035072.66133 0.00014
195.0 01.0 1696281.71050 0.00280
215.0 01.0 1884527.43929 0.00252
235.0 01.0 2058928.33205 0.00231
255.0 01.0 2238237.10275 0.00212
275.0 01.0 2415993.15454 0.00197
295.0 01.0 2601405.46021 0.00183
315.0 01.0 2777117.51831 0.00171
335.0 01.0 2952154.58518 0.00161
355.0 01.0 3135142.39975 0.00152
375.0 01.0 3316740.40379 0.00143
395.0 01.0 3486602.56154 0.00136
195.0 05.0 310641.02193 0.01536
215.0 05.0 354436.77730 0.01343
235.0 05.0 395338.95085 0.01204
255.0 05.0 433945.35768 0.01096
275.0 05.0 472736.41111 0.01005
295.0 05.0 513501.48707 0.00926
315.0 05.0 548686.46116 0.00866
335.0 05.0 584113.93170 0.00813
355.0 05.0 619067.31628 0.00768
375.0 05.0 657246.77411 0.00723
395.0 05.0 694928.48867 0.00684
195.0 10.0 127706.36819 0.03799
215.0 10.0 161271.79701 0.02967
235.0 10.0 185972.33981 0.02565
255.0 10.0 207209.83187 0.02300
275.0 10.0 228348.75548 0.02085
295.0 10.0 248933.80523 0.01911
315.0 10.0 268334.96696 0.01772
335.0 10.0 287441.74711 0.01655
355.0 10.0 306415.37276 0.01551
375.0 10.0 326217.26393 0.01457
395.0 10.0 344889.59246 0.01378
195.0 20.0 29064.05262 0.16480
215.0 20.0 4648.56369 1.00721
235.0 20.0 76658.37379 0.06310
255.0 20.0 93547.29215 0.05121
275.0 20.0 106163.84564 0.04500
295.0 20.0 117968.73859 0.04043
315.0 20.0 128511.03933 0.03707
335.0 20.0 138936.65974 0.03427
355.0 20.0 149353.23694 0.03187
375.0 20.0 159282.63563 0.02986
395.0 20.0 169227.27127 0.02809
195.0 30.0 4213.81066 1.11122
215.0 30.0 4238.02066 1.10639
235.0 30.0 4281.75188 1.09406
255.0 30.0 51677.22219 0.09454
275.0 30.0 64118.36447 0.07491
295.0 30.0 73448.15214 0.06511
315.0 30.0 81758.24268 0.05842
335.0 30.0 89665.35153 0.05314
355.0 30.0 96653.82103 0.04928
375.0 30.0 103899.54667 0.04580
395.0 30.0 110815.09678 0.04295
