H2
BSSP
66
FH_OFF
#TEMP #PRES #V #DENSITY
020.0 00.1 1745050.98372 0.00012
060.0 00.1 5315163.39316 0.00004
100.0 00.1 8874141.25448 0.00002
140.0 00.1 12398453.25725 0.00002
180.0 00.1 15958877.65452 0.00001
220.0 00.1 19492649.66514 0.00001
260.0 00.1 23069877.12432 0.00001
300.0 00.1 26453885.28349 0.00001
340.0 00.1 30026440.04260 0.00001
380.0 00.1 33646024.31235 0.00001
420.0 00.1 37069329.00954 0.00001
020.0 01.0 126771.32961 0.00186
060.0 01.0 528394.27951 0.00041
100.0 01.0 886402.62205 0.00025
140.0 01.0 1246806.48824 0.00017
180.0 01.0 1596625.14389 0.00014
220.0 01.0 1951440.22781 0.00011
260.0 01.0 2306138.80262 0.00009
300.0 01.0 2659266.80122 0.00008
340.0 01.0 3015275.15861 0.00007
380.0 01.0 3365382.06989 0.00006
420.0 01.0 3724515.87628 0.00006
020.0 05.0 2116.44243 0.10149
060.0 05.0 103634.44801 0.00210
100.0 05.0 176226.28204 0.00123
140.0 05.0 247877.12111 0.00088
180.0 05.0 319452.13789 0.00068
220.0 05.0 392165.81222 0.00055
260.0 05.0 463425.37389 0.00047
300.0 05.0 533136.77104 0.00041
340.0 05.0 602547.96926 0.00036
380.0 05.0 675446.74348 0.00032
420.0 05.0 748901.12409 0.00029
020.0 10.0 2186.75447 0.09827
060.0 10.0 50394.32754 0.00433
100.0 10.0 88397.17651 0.00246
140.0 10.0 124657.68537 0.00174
180.0 10.0 160256.07999 0.00136
220.0 10.0 195963.26557 0.00111
260.0 10.0 231822.45647 0.00094
300.0 10.0 267737.49718 0.00081
340.0 10.0 302252.56333 0.00072
380.0 10.0 338451.23811 0.00064
420.0 10.0 375155.78204 0.00058
020.0 20.0 2158.48135 0.09941
060.0 20.0 29032.00802 0.00755
100.0 20.0 44295.82432 0.00491
140.0 20.0 62708.06125 0.00347
180.0 20.0 81397.05108 0.00267
220.0 20.0 98568.57655 0.00221
260.0 20.0 116822.15455 0.00186
300.0 20.0 134567.34318 0.00162
340.0 20.0 152695.53699 0.00142
380.0 20.0 170326.95813 0.00128
420.0 20.0 188150.69128 0.00116
020.0 30.0 2157.45439 0.09966
060.0 30.0 19881.55261 0.01112
100.0 30.0 29422.73806 0.00740
140.0 30.0 41963.02491 0.00518
180.0 30.0 54240.08204 0.00401
220.0 30.0 66154.40807 0.00329
260.0 30.0 78585.61285 0.00277
300.0 30.0 90441.09207 0.00241
340.0 30.0 102303.36626 0.00213
380.0 30.0 113769.08188 0.00191
420.0 30.0 126046.35195 0.00173
