H2
BUCH
66
FH_OFF
#TEMP #PRES #V #DENSITY
020.0 00.1 1749718.54388 0.00012
060.0 00.1 5314359.04152 0.00004
100.0 00.1 8834331.99563 0.00002
140.0 00.1 12374850.57981 0.00002
180.0 00.1 15948422.72943 0.00001
220.0 00.1 19503245.81325 0.00001
260.0 00.1 23018688.07628 0.00001
300.0 00.1 26534401.61953 0.00001
340.0 00.1 30184742.53152 0.00001
380.0 00.1 33589203.43502 0.00001
420.0 00.1 37146317.20527 0.00001
020.0 01.0 82224.88641 0.00264
060.0 01.0 529375.30681 0.00041
100.0 01.0 884368.99209 0.00025
140.0 01.0 1239752.80073 0.00018
180.0 01.0 1594751.64226 0.00014
220.0 01.0 1948430.09594 0.00011
260.0 01.0 2300741.67104 0.00009
300.0 01.0 2660301.46130 0.00008
340.0 01.0 3012328.72207 0.00007
380.0 01.0 3364573.85898 0.00006
420.0 01.0 3726216.94989 0.00006
020.0 05.0 1914.67979 0.11194
060.0 05.0 103466.22815 0.00211
100.0 05.0 176574.33618 0.00123
140.0 05.0 248849.41502 0.00087
180.0 05.0 320303.67021 0.00068
220.0 05.0 390437.67707 0.00056
260.0 05.0 461925.34265 0.00047
300.0 05.0 532889.22681 0.00041
340.0 05.0 603966.59210 0.00036
380.0 05.0 674499.99067 0.00032
420.0 05.0 746708.56217 0.00029
020.0 10.0 1888.03961 0.11350
060.0 10.0 50252.67681 0.00434
100.0 10.0 88410.41068 0.00246
140.0 10.0 124530.43417 0.00175
180.0 10.0 159978.75072 0.00136
220.0 10.0 195775.53784 0.00111
260.0 10.0 231450.18364 0.00094
300.0 10.0 267418.31834 0.00081
340.0 10.0 302289.55030 0.00072
380.0 10.0 338264.26972 0.00064
420.0 10.0 373453.03753 0.00058
020.0 20.0 1899.93855 0.11280
060.0 20.0 23550.04347 0.00928
100.0 20.0 43874.77085 0.00496
140.0 20.0 62467.25500 0.00348
180.0 20.0 80942.39069 0.00269
220.0 20.0 98778.13751 0.00220
260.0 20.0 116669.61370 0.00186
300.0 20.0 134257.74721 0.00162
340.0 20.0 152176.39076 0.00143
380.0 20.0 169748.53563 0.00128
420.0 20.0 187739.12312 0.00116
020.0 30.0 1839.95035 0.11648
060.0 30.0 14652.86502 0.01496
100.0 30.0 29153.07017 0.00747
140.0 30.0 41917.18240 0.00519
180.0 30.0 54241.40016 0.00401
220.0 30.0 66171.06676 0.00329
260.0 30.0 78052.92779 0.00279
300.0 30.0 90330.46565 0.00241
340.0 30.0 101972.83638 0.00213
380.0 30.0 113750.37932 0.00191
420.0 30.0 125584.70556 0.00173
