H2
DL
66
FH_OFF
#TEMP #PRES #V #DENSITY
020.0 00.1 1741248.71608 0.00013
060.0 00.1 5314734.41300 0.00004
100.0 00.1 8857063.88582 0.00002
140.0 00.1 12394325.01256 0.00002
180.0 00.1 15944473.49189 0.00001
220.0 00.1 19546645.14462 0.00001
260.0 00.1 23025190.83591 0.00001
300.0 00.1 26513402.74488 0.00001
340.0 00.1 30036758.28671 0.00001
380.0 00.1 33632100.51976 0.00001
420.0 00.1 37168141.87595 0.00001
020.0 01.0 68494.99669 0.00313
060.0 01.0 528052.38505 0.00041
100.0 01.0 883722.42397 0.00025
140.0 01.0 1239618.93498 0.00018
180.0 01.0 1593741.76638 0.00014
220.0 01.0 1950704.56599 0.00011
260.0 01.0 2304328.49674 0.00009
300.0 01.0 2660939.69916 0.00008
340.0 01.0 3011960.43097 0.00007
380.0 01.0 3369391.15587 0.00006
420.0 01.0 3717936.26942 0.00006
020.0 05.0 1931.99057 0.11124
060.0 05.0 102524.18315 0.00212
100.0 05.0 176291.81230 0.00123
140.0 05.0 248849.42412 0.00087
180.0 05.0 319207.78927 0.00068
220.0 05.0 390429.74306 0.00056
260.0 05.0 462214.45462 0.00047
300.0 05.0 534111.43570 0.00041
340.0 05.0 604296.07398 0.00036
380.0 05.0 674627.35811 0.00032
420.0 05.0 745294.90922 0.00029
020.0 10.0 1956.19030 0.10973
060.0 10.0 49466.12575 0.00441
100.0 10.0 87894.21568 0.00248
140.0 10.0 124270.50600 0.00175
180.0 10.0 160436.50736 0.00136
220.0 10.0 195879.01046 0.00111
260.0 10.0 231821.11863 0.00094
300.0 10.0 266657.69164 0.00082
340.0 10.0 301987.12584 0.00072
380.0 10.0 338422.68724 0.00064
420.0 10.0 374206.34423 0.00058
020.0 20.0 1900.19778 0.11299
060.0 20.0 31740.51481 0.00689
100.0 20.0 43579.38287 0.00500
140.0 20.0 62325.96450 0.00349
180.0 20.0 80444.96904 0.00270
220.0 20.0 98642.86086 0.00221
260.0 20.0 116595.01228 0.00187
300.0 20.0 134314.53535 0.00162
340.0 20.0 151846.16476 0.00143
380.0 20.0 169625.01614 0.00128
420.0 20.0 187597.18572 0.00116
020.0 30.0 1925.24309 0.11154
060.0 30.0 22825.56692 0.00958
100.0 30.0 28909.67893 0.00753
140.0 30.0 41714.99554 0.00522
180.0 30.0 54034.14207 0.00402
220.0 30.0 66087.62106 0.00329
260.0 30.0 78047.63246 0.00279
300.0 30.0 90021.16756 0.00242
340.0 30.0 102029.53729 0.00213
380.0 30.0 114034.24581 0.00191
420.0 30.0 125870.23334 0.00173
