H2
POLAR_ADJQ
66
FH_OFF
#TEMP #PRES #V #DENSITY
020.0 00.1 1759239.92518 0.00012
060.0 00.1 5295315.22040 0.00004
100.0 00.1 8863823.35359 0.00002
140.0 00.1 12396004.85692 0.00002
180.0 00.1 15954579.50772 0.00001
220.0 00.1 19488456.10860 0.00001
260.0 00.1 22952429.99826 0.00001
300.0 00.1 26550331.43429 0.00001
340.0 00.1 30101414.34250 0.00001
380.0 00.1 33793271.31499 0.00001
420.0 00.1 37098257.69744 0.00001
020.0 01.0 85072.24513 0.00286
060.0 01.0 529350.81003 0.00041
100.0 01.0 884350.01408 0.00025
140.0 01.0 1242995.66971 0.00017
180.0 01.0 1589992.74592 0.00014
220.0 01.0 1942926.59259 0.00011
260.0 01.0 2302308.14461 0.00009
300.0 01.0 2658492.56390 0.00008
340.0 01.0 3010655.46029 0.00007
380.0 01.0 3374237.46252 0.00006
420.0 01.0 3719999.82252 0.00006
020.0 05.0 2099.91249 0.10236
060.0 05.0 103671.99095 0.00210
100.0 05.0 176658.82359 0.00123
140.0 05.0 247898.00731 0.00088
180.0 05.0 320093.30838 0.00068
220.0 05.0 392023.70205 0.00056
260.0 05.0 461109.25071 0.00047
300.0 05.0 533809.35517 0.00041
340.0 05.0 601658.01419 0.00036
380.0 05.0 673312.78232 0.00032
420.0 05.0 745382.46097 0.00029
020.0 10.0 2132.94965 0.10073
060.0 10.0 50589.26667 0.00431
100.0 10.0 88282.89377 0.00246
140.0 10.0 124639.22003 0.00175
180.0 10.0 161150.65131 0.00135
220.0 10.0 196533.37827 0.00111
260.0 10.0 231408.28065 0.00094
300.0 10.0 266417.11228 0.00082
340.0 10.0 302493.31525 0.00072
380.0 10.0 338268.32126 0.00064
420.0 10.0 371898.65973 0.00059
020.0 20.0 2157.23895 0.09959
060.0 20.0 31576.30823 0.00690
100.0 20.0 44176.16662 0.00493
140.0 20.0 62624.25288 0.00347
180.0 20.0 81009.19810 0.00268
220.0 20.0 98683.50430 0.00220
260.0 20.0 116694.42986 0.00186
300.0 20.0 134346.52955 0.00162
340.0 20.0 151946.97875 0.00143
380.0 20.0 169640.43476 0.00128
420.0 20.0 187372.58213 0.00116
020.0 30.0 2149.63378 0.09992
060.0 30.0 23232.89315 0.00944
100.0 30.0 29514.09670 0.00737
140.0 30.0 42137.91168 0.00516
180.0 30.0 54320.17326 0.00400
220.0 30.0 66500.62457 0.00327
260.0 30.0 78301.49695 0.00278
300.0 30.0 90257.69959 0.00241
340.0 30.0 102127.04799 0.00213
380.0 30.0 113871.28255 0.00191
420.0 30.0 125481.55280 0.00173
