H2
luo_lloyd
60
FH_OFF
#TEMP #PRES #V #DENSITY
077.0 9.86923 67571.58154 0.00322
100.0 9.86923 89040.75459 0.00245
200.0 9.86923 180551.28817 0.00121
077.0 19.7385 32811.84605 0.00665
100.0 19.7385 44329.26914 0.00491
200.0 19.7385 90538.17299 0.00240
077.0 29.6077 21425.74566 0.01020
100.0 29.6077 29376.12110 0.00742
200.0 29.6077 60942.07995 0.00357
077.0 39.4769 15722.38775 0.01392
100.0 39.4769 22030.29534 0.00990
200.0 39.4769 45951.04168 0.00473
077.0 49.3462 12407.56183 0.01766
100.0 49.3462 17599.63984 0.01240
200.0 49.3462 37035.15173 0.00588
077.0 59.2154 10240.22546 0.02141
100.0 59.2154 14707.65441 0.01484
200.0 59.2154 31035.94601 0.00701
077.0 69.0846 8743.81212 0.02507
100.0 69.0846 12655.36658 0.01726
200.0 69.0846 26747.44872 0.00814
077.0 78.9538 7658.96083 0.02864
100.0 78.9538 11054.86189 0.01976
200.0 78.9538 23542.36163 0.00925
077.0 88.8231 6836.05091 0.03209
100.0 88.8231 9911.21358 0.02205
200.0 88.8231 21107.50160 0.01031
077.0 98.6923 6229.74385 0.03520
100.0 98.6923 8997.25246 0.02429
200.0 98.6923 19157.13332 0.01137
077.0 108.562 5740.93177 0.03816
100.0 108.562 8258.03524 0.02646
200.0 108.562 17485.76167 0.01245
077.0 118.431 5363.99016 0.04085
100.0 118.431 7650.86616 0.02856
200.0 118.431 16165.16520 0.01347
077.0 128.3 5051.83341 0.04334
100.0 128.3 7129.58484 0.03065
200.0 128.3 15039.70545 0.01448
077.0 138.169 4785.54815 0.04575
100.0 138.169 6709.13779 0.03258
200.0 138.169 14047.69486 0.01550
077.0 148.038 4575.42270 0.04783
100.0 148.038 6354.34578 0.03439
200.0 148.038 13237.49833 0.01645
077.0 157.908 4395.48674 0.04977
100.0 157.908 6039.63071 0.03617
200.0 157.908 12478.58171 0.01745
077.0 167.777 4213.83313 0.05190
100.0 167.777 5752.63814 0.03797
200.0 167.777 11848.78832 0.01837
077.0 177.646 4102.97020 0.05333
100.0 177.646 5524.17665 0.03954
200.0 177.646 11250.92773 0.01936
077.0 187.515 3973.50901 0.05503
100.0 187.515 5305.95614 0.04117
200.0 187.515 10772.89286 0.02022
077.0 197.385 3874.97699 0.05643
100.0 197.385 5131.07604 0.04257
200.0 197.385 10297.55620 0.02115
