H2
BSSP
66
FH_ON
#TEMP #PRES #V #DENSITY
020.0 00.1 1759594.92223 0.00012
060.0 00.1 5288282.95904 0.00004
100.0 00.1 8836471.61561 0.00002
140.0 00.1 12380986.54360 0.00002
180.0 00.1 15934665.46610 0.00001
220.0 00.1 19386375.24927 0.00001
260.0 00.1 23081060.82280 0.00001
300.0 00.1 26652279.63834 0.00001
340.0 00.1 30210423.82457 0.00001
380.0 00.1 33633901.40019 0.00001
420.0 00.1 37211056.52451 0.00001
020.0 01.0 165214.88747 0.00132
060.0 01.0 529987.10573 0.00041
100.0 01.0 886794.67782 0.00025
140.0 01.0 1240094.09195 0.00018
180.0 01.0 1603752.50509 0.00014
220.0 01.0 1943302.38411 0.00011
260.0 01.0 2310212.44312 0.00009
300.0 01.0 2647628.37467 0.00008
340.0 01.0 3010456.09282 0.00007
380.0 01.0 3363730.69678 0.00006
420.0 01.0 3730081.95231 0.00006
020.0 05.0 4161.26424 0.05170
060.0 05.0 104921.56402 0.00208
100.0 05.0 177742.51868 0.00122
140.0 05.0 248814.44500 0.00088
180.0 05.0 319596.10797 0.00068
220.0 05.0 391671.34257 0.00056
260.0 05.0 461848.95410 0.00047
300.0 05.0 532984.90936 0.00041
340.0 05.0 605330.78810 0.00036
380.0 05.0 673141.52450 0.00032
420.0 05.0 743708.31742 0.00029
020.0 10.0 3957.47704 0.05430
060.0 10.0 51888.03317 0.00420
100.0 10.0 89022.74133 0.00244
140.0 10.0 124757.21203 0.00174
180.0 10.0 160874.10387 0.00135
220.0 10.0 196213.50084 0.00111
260.0 10.0 232101.57766 0.00094
300.0 10.0 268176.17908 0.00081
340.0 10.0 303428.04271 0.00072
380.0 10.0 338894.85154 0.00064
420.0 10.0 374244.54175 0.00058
020.0 20.0 3705.43608 0.05792
060.0 20.0 25323.77674 0.00861
100.0 20.0 44556.54058 0.00488
140.0 20.0 63125.41815 0.00344
180.0 20.0 81009.80020 0.00268
220.0 20.0 98693.96038 0.00220
260.0 20.0 116747.43751 0.00186
300.0 20.0 135101.64123 0.00161
340.0 20.0 152392.45440 0.00143
380.0 20.0 170429.30795 0.00128
420.0 20.0 187925.31769 0.00116
020.0 30.0 3774.44674 0.05691
060.0 30.0 19318.90412 0.01128
100.0 30.0 29947.62570 0.00726
140.0 30.0 42452.12091 0.00512
180.0 30.0 54710.31030 0.00397
220.0 30.0 66536.50961 0.00327
260.0 30.0 78437.66257 0.00277
300.0 30.0 90315.16220 0.00241
340.0 30.0 102531.36682 0.00212
380.0 30.0 114283.59453 0.00190
420.0 30.0 125527.35552 0.00173
