H2
BSS
66
FH_ON
#TEMP #PRES #V #DENSITY
020.0 00.1 1758825.08572 0.00012
060.0 00.1 5302806.90395 0.00004
100.0 00.1 8858270.90011 0.00002
140.0 00.1 12399421.22502 0.00002
180.0 00.1 15915539.73597 0.00001
220.0 00.1 19555288.09583 0.00001
260.0 00.1 22977683.73956 0.00001
300.0 00.1 26604615.72562 0.00001
340.0 00.1 30209473.73412 0.00001
380.0 00.1 33627222.37256 0.00001
420.0 00.1 37371212.26438 0.00001
020.0 01.0 164315.10579 0.00133
060.0 01.0 530698.06459 0.00041
100.0 01.0 883397.73160 0.00025
140.0 01.0 1237202.67034 0.00018
180.0 01.0 1594714.97794 0.00014
220.0 01.0 1952432.10954 0.00011
260.0 01.0 2307005.45487 0.00009
300.0 01.0 2661555.98327 0.00008
340.0 01.0 3013233.08546 0.00007
380.0 01.0 3366225.53246 0.00006
420.0 01.0 3725898.90389 0.00006
020.0 05.0 3918.67398 0.05490
060.0 05.0 104777.72758 0.00208
100.0 05.0 177355.55066 0.00123
140.0 05.0 248096.13144 0.00088
180.0 05.0 319833.93884 0.00068
220.0 05.0 391819.78025 0.00056
260.0 05.0 462924.41046 0.00047
300.0 05.0 532653.00153 0.00041
340.0 05.0 605101.20031 0.00036
380.0 05.0 674849.85022 0.00032
420.0 05.0 745924.64669 0.00029
020.0 10.0 3620.39864 0.05935
060.0 10.0 51617.89243 0.00422
100.0 10.0 89077.11920 0.00244
140.0 10.0 124760.71807 0.00174
180.0 10.0 161005.66611 0.00135
220.0 10.0 196326.04614 0.00111
260.0 10.0 231699.89257 0.00094
300.0 10.0 267318.66455 0.00081
340.0 10.0 302781.78586 0.00072
380.0 10.0 339381.83165 0.00064
420.0 10.0 373153.66406 0.00058
020.0 20.0 3837.79155 0.05595
060.0 20.0 25367.63439 0.00859
100.0 20.0 44673.29052 0.00487
140.0 20.0 62956.64424 0.00345
180.0 20.0 80743.99270 0.00269
220.0 20.0 98981.89097 0.00220
260.0 20.0 116901.85193 0.00186
300.0 20.0 133928.54959 0.00162
340.0 20.0 151860.90741 0.00143
380.0 20.0 169992.17573 0.00128
420.0 20.0 189180.59244 0.00115
020.0 30.0 3430.13292 0.06254
060.0 30.0 19513.89113 0.01118
100.0 30.0 29958.80191 0.00726
140.0 30.0 42351.46140 0.00513
180.0 30.0 54469.10688 0.00399
220.0 30.0 66321.47987 0.00328
260.0 30.0 78599.30051 0.00277
300.0 30.0 90272.46885 0.00241
340.0 30.0 101697.03628 0.00214
380.0 30.0 114042.60085 0.00191
420.0 30.0 125604.38980 0.00173
