H2
BUCH
66
FH_ON
#TEMP #PRES #V #DENSITY
020.0 00.1 1760370.42855 0.00012
060.0 00.1 5321066.25480 0.00004
100.0 00.1 8836007.10482 0.00002
140.0 00.1 12389832.09572 0.00002
180.0 00.1 15961218.07025 0.00001
220.0 00.1 19518638.53014 0.00001
260.0 00.1 23033613.22080 0.00001
300.0 00.1 26562626.07490 0.00001
340.0 00.1 30146760.88297 0.00001
380.0 00.1 33716633.71596 0.00001
420.0 00.1 37246408.60369 0.00001
020.0 01.0 164154.40526 0.00133
060.0 01.0 528366.20779 0.00041
100.0 01.0 884948.74222 0.00025
140.0 01.0 1239918.59068 0.00018
180.0 01.0 1591918.32493 0.00014
220.0 01.0 1948616.15491 0.00011
260.0 01.0 2301701.53471 0.00009
300.0 01.0 2663623.50086 0.00008
340.0 01.0 3016480.69935 0.00007
380.0 01.0 3359652.13389 0.00006
420.0 01.0 3714935.91759 0.00006
020.0 05.0 3673.61087 0.05854
060.0 05.0 104580.40222 0.00208
100.0 05.0 176968.09486 0.00123
140.0 05.0 248440.82243 0.00088
180.0 05.0 319942.47711 0.00068
220.0 05.0 391447.21481 0.00056
260.0 05.0 461701.05466 0.00047
300.0 05.0 533779.76618 0.00041
340.0 05.0 604060.54209 0.00036
380.0 05.0 674443.48914 0.00032
420.0 05.0 746602.16363 0.00029
020.0 10.0 3610.15078 0.05950
060.0 10.0 51487.65989 0.00423
100.0 10.0 88660.66476 0.00245
140.0 10.0 124972.81809 0.00174
180.0 10.0 160726.25042 0.00135
220.0 10.0 196585.54121 0.00111
260.0 10.0 232147.35093 0.00094
300.0 10.0 267318.45758 0.00081
340.0 10.0 302811.64552 0.00072
380.0 10.0 338607.75520 0.00064
420.0 10.0 373895.79283 0.00058
020.0 20.0 3397.35262 0.06314
060.0 20.0 25020.89829 0.00871
100.0 20.0 44415.27007 0.00490
140.0 20.0 62952.89949 0.00345
180.0 20.0 81046.01998 0.00268
220.0 20.0 98857.62221 0.00220
260.0 20.0 116427.95649 0.00187
300.0 20.0 134481.17804 0.00162
340.0 20.0 152237.63509 0.00143
380.0 20.0 169831.46102 0.00128
420.0 20.0 187291.00694 0.00116
020.0 30.0 3397.68332 0.06319
060.0 30.0 16349.73131 0.01333
100.0 30.0 29758.61528 0.00731
140.0 30.0 42176.35003 0.00516
180.0 30.0 54415.58812 0.00400
220.0 30.0 66444.82362 0.00327
260.0 30.0 78235.75295 0.00278
300.0 30.0 90139.87222 0.00241
340.0 30.0 102268.20717 0.00213
380.0 30.0 113854.94842 0.00191
420.0 30.0 125651.18822 0.00173
