H2
DL
66
FH_ON
#TEMP #PRES #V #DENSITY
020.0 00.1 1755488.24504 0.00012
060.0 00.1 5314500.68484 0.00004
100.0 00.1 8890309.22947 0.00002
140.0 00.1 12429592.88548 0.00002
180.0 00.1 15936448.06882 0.00001
220.0 00.1 19481067.56545 0.00001
260.0 00.1 22996756.26833 0.00001
300.0 00.1 26543811.69976 0.00001
340.0 00.1 30015786.99081 0.00001
380.0 00.1 33664285.66295 0.00001
420.0 00.1 37255291.59631 0.00001
020.0 01.0 161743.00875 0.00135
060.0 01.0 528647.41819 0.00041
100.0 01.0 886668.01856 0.00025
140.0 01.0 1239515.87257 0.00018
180.0 01.0 1598118.30552 0.00014
220.0 01.0 1949615.07374 0.00011
260.0 01.0 2301075.60417 0.00009
300.0 01.0 2654859.68985 0.00008
340.0 01.0 3013441.61814 0.00007
380.0 01.0 3369627.72629 0.00006
420.0 01.0 3725447.11428 0.00006
020.0 05.0 3302.52364 0.06503
060.0 05.0 104466.25928 0.00209
100.0 05.0 176480.17145 0.00123
140.0 05.0 248320.71207 0.00088
180.0 05.0 319470.70243 0.00068
220.0 05.0 391575.13594 0.00056
260.0 05.0 462068.09893 0.00047
300.0 05.0 533730.65524 0.00041
340.0 05.0 604283.26685 0.00036
380.0 05.0 674550.27180 0.00032
420.0 05.0 746919.38719 0.00029
020.0 10.0 3233.27252 0.06641
060.0 10.0 51046.80095 0.00427
100.0 10.0 88239.95107 0.00247
140.0 10.0 124576.14884 0.00175
180.0 10.0 160259.11036 0.00136
220.0 10.0 196032.04394 0.00111
260.0 10.0 231399.84785 0.00094
300.0 10.0 267024.84092 0.00081
340.0 10.0 302712.97815 0.00072
380.0 10.0 338066.36108 0.00064
420.0 10.0 373225.32478 0.00058
020.0 20.0 3277.36135 0.06549
060.0 20.0 31775.83629 0.00684
100.0 20.0 44202.38910 0.00492
140.0 20.0 62713.87571 0.00347
180.0 20.0 80659.99816 0.00270
220.0 20.0 98828.43809 0.00220
260.0 20.0 116710.17983 0.00186
300.0 20.0 134506.31025 0.00162
340.0 20.0 152214.19405 0.00143
380.0 20.0 170164.25006 0.00128
420.0 20.0 187474.96464 0.00116
020.0 30.0 3275.12505 0.06552
060.0 30.0 22501.99006 0.00966
100.0 30.0 29565.46079 0.00736
140.0 30.0 42123.73769 0.00516
180.0 30.0 54217.81389 0.00401
220.0 30.0 66261.97838 0.00328
260.0 30.0 78230.52230 0.00278
300.0 30.0 89926.28933 0.00242
340.0 30.0 101898.97037 0.00213
380.0 30.0 113922.51069 0.00191
420.0 30.0 125997.62044 0.00173
