H2
POLAR_ADJQ
66
FH_ON
#TEMP #PRES #V #DENSITY
020.0 00.1 1760591.53611 0.00012
060.0 00.1 5298465.92771 0.00004
100.0 00.1 8852700.81486 0.00002
140.0 00.1 12395933.33174 0.00002
180.0 00.1 15987771.63506 0.00001
220.0 00.1 19500758.43421 0.00001
260.0 00.1 22987678.23839 0.00001
300.0 00.1 26513539.94348 0.00001
340.0 00.1 30026151.94786 0.00001
380.0 00.1 33587773.44406 0.00001
420.0 00.1 37210461.03482 0.00001
020.0 01.0 164937.05730 0.00132
060.0 01.0 530274.82089 0.00041
100.0 01.0 887538.20483 0.00025
140.0 01.0 1236771.88199 0.00018
180.0 01.0 1591239.79474 0.00014
220.0 01.0 1958668.13351 0.00011
260.0 01.0 2312777.50083 0.00009
300.0 01.0 2660771.03419 0.00008
340.0 01.0 3009647.60082 0.00007
380.0 01.0 3383273.00265 0.00006
420.0 01.0 3722028.86824 0.00006
020.0 05.0 4059.01351 0.05314
060.0 05.0 104847.48212 0.00208
100.0 05.0 177605.69013 0.00123
140.0 05.0 248772.15538 0.00087
180.0 05.0 320241.50857 0.00068
220.0 05.0 391204.29960 0.00056
260.0 05.0 463678.62721 0.00047
300.0 05.0 534722.70785 0.00041
340.0 05.0 602900.70709 0.00036
380.0 05.0 674086.13713 0.00032
420.0 05.0 746209.65411 0.00029
020.0 10.0 4011.70616 0.05364
060.0 10.0 51928.57459 0.00419
100.0 10.0 88748.67040 0.00245
140.0 10.0 124995.86623 0.00174
180.0 10.0 160983.12506 0.00135
220.0 10.0 196561.95026 0.00111
260.0 10.0 231870.24518 0.00094
300.0 10.0 267366.31819 0.00081
340.0 10.0 302773.28069 0.00072
380.0 10.0 339253.37844 0.00064
420.0 10.0 375288.74564 0.00058
020.0 20.0 3630.15402 0.05916
060.0 20.0 32780.66513 0.00677
100.0 20.0 44586.15921 0.00488
140.0 20.0 62852.87490 0.00346
180.0 20.0 81207.70620 0.00268
220.0 20.0 99211.15368 0.00219
260.0 20.0 117421.09514 0.00185
300.0 20.0 134009.61190 0.00162
340.0 20.0 152687.27291 0.00142
380.0 20.0 169040.79878 0.00129
420.0 20.0 188031.05682 0.00116
020.0 30.0 3703.16031 0.05798
060.0 30.0 22616.01148 0.00964
100.0 30.0 29955.53732 0.00726
140.0 30.0 42598.18419 0.00510
180.0 30.0 54561.94932 0.00399
220.0 30.0 66513.54684 0.00327
260.0 30.0 78255.17645 0.00278
300.0 30.0 90587.70004 0.00240
340.0 30.0 102381.71033 0.00212
380.0 30.0 114391.12295 0.00190
420.0 30.0 126150.54460 0.00172
