H2
luo_lloyd
60
FH_ON
#TEMP #PRES #V #DENSITY
077.0 9.86923 68270.54523 0.00319
100.0 9.86923 89541.88357 0.00243
200.0 9.86923 180978.20695 0.00120
077.0 19.7385 33805.45079 0.00645
100.0 19.7385 44918.87833 0.00485
200.0 19.7385 91042.46364 0.00239
077.0 29.6077 22359.65626 0.00976
100.0 29.6077 29974.01905 0.00727
200.0 29.6077 61211.40556 0.00356
077.0 39.4769 16747.51753 0.01304
100.0 39.4769 22648.06027 0.00963
200.0 39.4769 46222.26691 0.00471
077.0 49.3462 13451.08912 0.01624
100.0 49.3462 18199.87701 0.01198
200.0 49.3462 37194.45805 0.00585
077.0 59.2154 11278.67892 0.01936
100.0 59.2154 15318.39630 0.01423
200.0 59.2154 31231.16061 0.00697
077.0 69.0846 9764.42416 0.02238
100.0 69.0846 13253.06649 0.01645
200.0 69.0846 27006.90329 0.00806
077.0 78.9538 8684.28020 0.02516
100.0 78.9538 11684.67430 0.01866
200.0 78.9538 23792.90443 0.00915
077.0 88.8231 7841.08639 0.02786
100.0 88.8231 10531.30893 0.02071
200.0 88.8231 21341.22169 0.01020
077.0 98.6923 7186.85839 0.03039
100.0 98.6923 9611.29051 0.02269
200.0 98.6923 19346.18157 0.01125
077.0 108.562 6672.71504 0.03270
100.0 108.562 8849.28379 0.02464
200.0 108.562 17688.40751 0.01231
077.0 118.431 6235.36379 0.03501
100.0 118.431 8222.88298 0.02652
200.0 118.431 16388.99137 0.01328
077.0 128.3 5910.36708 0.03693
100.0 128.3 7696.10407 0.02834
200.0 128.3 15243.11648 0.01428
077.0 138.169 5605.45743 0.03892
100.0 138.169 7272.79917 0.02998
200.0 138.169 14274.37557 0.01525
077.0 148.038 5362.70716 0.04067
100.0 148.038 6896.92891 0.03161
200.0 148.038 13406.78606 0.01623
077.0 157.908 5130.22642 0.04252
100.0 157.908 6575.52997 0.03315
200.0 157.908 12686.54397 0.01716
077.0 167.777 4955.19817 0.04402
100.0 167.777 6286.80030 0.03468
200.0 167.777 12035.35294 0.01808
077.0 177.646 4793.38709 0.04550
100.0 177.646 6054.70690 0.03600
200.0 177.646 11471.88461 0.01898
077.0 187.515 4658.81707 0.04680
100.0 187.515 5809.89403 0.03753
200.0 187.515 10967.58522 0.01985
077.0 197.385 4530.97085 0.04813
100.0 197.385 5599.62013 0.03894
200.0 197.385 10478.79299 0.02077
