HE
HE
66
FH_OFF
#TEMP #PRES #V #DENSITY
005.0 00.1 423616.12239 0.00102
035.0 00.1 3094947.88121 0.00014
065.0 00.1 5756215.89346 0.00008
100.0 00.1 8866304.81713 0.00005
130.0 00.1 11506759.92093 0.00004
160.0 00.1 14154342.44598 0.00003
190.0 00.1 16863261.90746 0.00003
220.0 00.1 19462132.02041 0.00002
250.0 00.1 22121949.08885 0.00002
280.0 00.1 24746400.76090 0.00002
310.0 00.1 27467085.40642 0.00002
005.0 01.0 12550.60547 0.03407
035.0 01.0 310210.64030 0.00139
065.0 01.0 576873.95984 0.00075
100.0 01.0 886713.77868 0.00049
130.0 01.0 1152120.35737 0.00037
160.0 01.0 1418722.89348 0.00030
190.0 01.0 1682365.70907 0.00026
220.0 01.0 1953831.36148 0.00022
250.0 01.0 2215163.79817 0.00019
280.0 01.0 2479222.75646 0.00017
310.0 01.0 2744966.06650 0.00016
005.0 05.0 1368.36874 0.31099
035.0 05.0 62275.82742 0.00694
065.0 05.0 116249.76065 0.00372
100.0 05.0 178084.51396 0.00243
130.0 05.0 231788.70299 0.00186
160.0 05.0 284298.04119 0.00152
190.0 05.0 337480.69559 0.00128
220.0 05.0 390303.36831 0.00111
250.0 05.0 444860.52030 0.00097
280.0 05.0 497337.17541 0.00087
310.0 05.0 550350.13105 0.00079
005.0 10.0 1324.93056 0.32113
035.0 10.0 31263.91194 0.01381
065.0 10.0 58666.38564 0.00736
100.0 10.0 89836.05892 0.00481
130.0 10.0 116434.81745 0.00371
160.0 10.0 143135.09176 0.00302
190.0 10.0 169294.73960 0.00255
220.0 10.0 196432.87379 0.00220
250.0 10.0 223196.99962 0.00194
280.0 10.0 249464.52564 0.00173
310.0 10.0 275349.67567 0.00157
005.0 20.0 1329.32797 0.32007
035.0 20.0 15879.86655 0.02718
065.0 20.0 29801.35667 0.01448
100.0 20.0 45485.75839 0.00949
130.0 20.0 58762.84032 0.00735
160.0 20.0 72268.08550 0.00597
190.0 20.0 85593.99450 0.00505
220.0 20.0 98768.17459 0.00437
250.0 20.0 112109.24097 0.00385
280.0 20.0 125248.75329 0.00345
310.0 20.0 138440.19807 0.00312
005.0 30.0 1333.11038 0.31916
035.0 30.0 10750.70509 0.04012
065.0 30.0 20155.23585 0.02140
100.0 30.0 30750.55712 0.01403
130.0 30.0 39643.63900 0.01089
160.0 30.0 48522.52106 0.00890
190.0 30.0 57377.86248 0.00752
220.0 30.0 66293.86002 0.00651
250.0 30.0 75016.50263 0.00576
280.0 30.0 83890.25087 0.00515
310.0 30.0 92845.04838 0.00465
