HE
HE
66
FH_ON
#TEMP #PRES #V #DENSITY
005.0 00.1 436345.40497 0.00099
035.0 00.1 3095414.23925 0.00014
065.0 00.1 5756955.17063 0.00008
100.0 00.1 8867626.26286 0.00005
130.0 00.1 11516506.16079 0.00004
160.0 00.1 14198401.12054 0.00003
190.0 00.1 16812345.12101 0.00003
220.0 00.1 19447903.28306 0.00002
250.0 00.1 22161343.86381 0.00002
280.0 00.1 24769955.99794 0.00002
310.0 00.1 27497097.24573 0.00002
005.0 01.0 36913.35333 0.01179
035.0 01.0 311038.05281 0.00139
065.0 01.0 577652.27902 0.00075
100.0 01.0 887688.11084 0.00049
130.0 01.0 1152117.12141 0.00037
160.0 01.0 1418756.09506 0.00030
190.0 01.0 1683399.60614 0.00026
220.0 01.0 1950660.70450 0.00022
250.0 01.0 2215421.46786 0.00019
280.0 01.0 2480644.62198 0.00017
310.0 01.0 2747826.20354 0.00016
005.0 05.0 4381.05985 0.09788
035.0 05.0 62803.92658 0.00687
065.0 05.0 116404.50547 0.00371
100.0 05.0 178542.19207 0.00242
130.0 05.0 231705.50698 0.00186
160.0 05.0 284949.35983 0.00152
190.0 05.0 338566.55691 0.00128
220.0 05.0 390604.82269 0.00111
250.0 05.0 443716.08284 0.00097
280.0 05.0 498155.35876 0.00087
310.0 05.0 550599.25841 0.00078
005.0 10.0 3713.67434 0.11493
035.0 10.0 31899.75795 0.01353
065.0 10.0 58712.36469 0.00735
100.0 10.0 89837.76181 0.00481
130.0 10.0 116627.00869 0.00370
160.0 10.0 142793.73035 0.00303
190.0 10.0 169637.84224 0.00255
220.0 10.0 196438.07700 0.00220
250.0 10.0 222890.58324 0.00194
280.0 10.0 249600.49903 0.00173
310.0 10.0 275905.90054 0.00157
005.0 20.0 3185.97259 0.13379
035.0 20.0 16453.91505 0.02621
065.0 20.0 30048.20595 0.01436
100.0 20.0 45629.40406 0.00946
130.0 20.0 58898.47422 0.00733
160.0 20.0 72241.42675 0.00598
190.0 20.0 85575.95786 0.00505
220.0 20.0 98964.88616 0.00436
250.0 20.0 112112.33582 0.00385
280.0 20.0 125457.95943 0.00344
310.0 20.0 138491.74578 0.00312
005.0 30.0 3073.67689 0.13851
035.0 30.0 11329.85722 0.03803
065.0 30.0 20408.20197 0.02113
100.0 30.0 30872.58790 0.01398
130.0 30.0 39815.69823 0.01084
160.0 30.0 48636.57963 0.00888
190.0 30.0 57409.57477 0.00752
220.0 30.0 66401.45817 0.00650
250.0 30.0 75189.15945 0.00574
280.0 30.0 83854.14682 0.00515
310.0 30.0 92848.90124 0.00465
