KR
KR
66
#TEMP #PRES #V #DENSITY
120.0 00.1 10593142.86604 0.00085
150.0 00.1 13266517.69733 0.00068
180.0 00.1 15899479.73708 0.00057
210.0 00.1 18586172.46652 0.00049
240.0 00.1 21251166.68028 0.00043
270.0 00.1 23899603.61609 0.00038
300.0 00.1 26618227.28086 0.00034
330.0 00.1 29215238.09604 0.00031
360.0 00.1 31871100.88582 0.00028
390.0 00.1 34590154.42025 0.00026
420.0 00.1 37146304.66438 0.00024
120.0 01.0 1030202.85100 0.00879
150.0 01.0 1306169.82666 0.00693
180.0 01.0 1578785.08916 0.00573
210.0 01.0 1846745.03862 0.00490
240.0 01.0 2114521.72895 0.00428
270.0 01.0 2383630.46516 0.00379
300.0 01.0 2652314.93041 0.00341
330.0 01.0 2917632.06803 0.00310
360.0 01.0 3185658.87179 0.00284
390.0 01.0 3446690.73577 0.00262
420.0 01.0 3725431.96426 0.00243
120.0 05.0 3574.91988 2.49341
150.0 05.0 240980.58153 0.03768
180.0 05.0 301446.60428 0.03006
210.0 05.0 359023.94183 0.02522
240.0 05.0 415314.42576 0.02180
270.0 05.0 470821.91571 0.01922
300.0 05.0 524903.80753 0.01723
330.0 05.0 579068.96182 0.01562
360.0 05.0 634117.70906 0.01427
390.0 05.0 688808.86946 0.01313
420.0 05.0 742651.16526 0.01218
120.0 10.0 3395.91143 2.62311
150.0 10.0 103399.99944 0.08893
180.0 10.0 141068.88988 0.06441
210.0 10.0 173045.81944 0.05241
240.0 10.0 202663.77416 0.04470
270.0 10.0 231132.91071 0.03921
300.0 10.0 259599.43430 0.03486
330.0 10.0 287217.87558 0.03150
360.0 10.0 314687.54504 0.02875
390.0 10.0 341645.64595 0.02648
420.0 10.0 369472.64292 0.02448
120.0 20.0 3404.70093 2.61653
150.0 20.0 3797.73925 2.34879
180.0 20.0 57742.76730 0.15977
210.0 20.0 78965.02959 0.11533
240.0 20.0 95810.42536 0.09474
270.0 20.0 111327.03577 0.08141
300.0 20.0 126498.38998 0.07166
330.0 20.0 141074.68468 0.06422
360.0 20.0 155449.48118 0.05824
390.0 20.0 169213.65645 0.05349
420.0 20.0 183599.27753 0.04928
120.0 30.0 3444.34611 2.58640
150.0 30.0 3693.83252 2.41455
180.0 30.0 4217.00269 2.11661
210.0 30.0 46028.99924 0.20000
240.0 30.0 59786.04331 0.15240
270.0 30.0 71289.55323 0.12740
300.0 30.0 82087.94232 0.11051
330.0 30.0 92428.22255 0.09803
360.0 30.0 102060.52561 0.08878
390.0 30.0 111861.88871 0.08092
420.0 30.0 121357.69118 0.07458
