N2
PHAST_LB
66
#TEMP #PRES #V #DENSITY
077.0 00.1 6772427.15309 0.00045
110.0 00.1 9704637.50232 0.00031
140.0 00.1 12356675.67507 0.00024
170.0 00.1 15069080.64501 0.00020
200.0 00.1 17680100.29400 0.00017
230.0 00.1 20369448.53100 0.00015
260.0 00.1 23031632.35777 0.00013
290.0 00.1 25782278.08456 0.00012
330.0 00.1 29176277.01409 0.00010
370.0 00.1 32564728.38629 0.00009
410.0 00.1 36332807.30282 0.00008
077.0 01.0 651408.57701 0.00465
110.0 01.0 957653.33858 0.00316
140.0 01.0 1234553.17658 0.00245
170.0 01.0 1503462.38802 0.00201
200.0 01.0 1772061.26835 0.00171
230.0 01.0 2026443.14871 0.00149
260.0 01.0 2303020.22796 0.00131
290.0 01.0 2576781.51137 0.00117
330.0 01.0 2919852.19253 0.00104
370.0 01.0 3282126.18319 0.00092
410.0 01.0 3635368.03069 0.00083
077.0 05.0 33468.62120 0.09214
110.0 05.0 178573.24260 0.01699
140.0 05.0 237788.56685 0.01272
170.0 05.0 294956.97460 0.01027
200.0 05.0 350270.88528 0.00863
230.0 05.0 403910.63203 0.00749
260.0 05.0 457476.69927 0.00661
290.0 05.0 511966.47044 0.00591
330.0 05.0 585481.22585 0.00516
370.0 05.0 657172.02010 0.00460
410.0 05.0 725560.46756 0.00417
077.0 10.0 3733.74131 0.79896
110.0 10.0 79355.89588 0.03842
140.0 10.0 113903.54787 0.02662
170.0 10.0 144566.09607 0.02095
200.0 10.0 172884.45014 0.01750
230.0 10.0 200639.82613 0.01507
260.0 10.0 227725.54161 0.01329
290.0 10.0 255406.01258 0.01184
330.0 10.0 292368.52772 0.01035
370.0 10.0 327879.08477 0.00922
410.0 10.0 363903.82435 0.00831
077.0 20.0 3645.77485 0.81806
110.0 20.0 4232.18587 0.70510
140.0 20.0 51035.90462 0.05978
170.0 20.0 68561.22358 0.04423
200.0 20.0 84516.63085 0.03581
230.0 20.0 98926.36958 0.03059
260.0 20.0 113411.92843 0.02668
290.0 20.0 127798.38663 0.02366
330.0 20.0 146189.75163 0.02069
370.0 20.0 163856.04995 0.01846
410.0 20.0 182500.20146 0.01657
077.0 30.0 3639.92661 0.82058
110.0 30.0 4239.42573 0.70372
140.0 30.0 44696.38577 0.07354
170.0 30.0 43591.90635 0.06971
200.0 30.0 54670.55121 0.05540
230.0 30.0 65088.87284 0.04652
260.0 30.0 75043.18298 0.04028
290.0 30.0 84793.27320 0.03568
330.0 30.0 97289.72151 0.03109
370.0 30.0 109550.36497 0.02760
410.0 30.0 122239.16912 0.02474
