N2
PHAST_STAR_LB
66
#TEMP #PRES #V #DENSITY
077.0 00.1 6775955.63660 0.00045
110.0 00.1 9723470.23709 0.00031
140.0 00.1 12360378.40557 0.00024
170.0 00.1 14990232.20416 0.00020
200.0 00.1 17704784.57524 0.00017
230.0 00.1 20422169.03535 0.00015
260.0 00.1 22985820.26624 0.00013
290.0 00.1 25731839.25716 0.00012
330.0 00.1 29114240.37697 0.00010
370.0 00.1 32793948.19295 0.00009
410.0 00.1 36576784.43430 0.00008
077.0 01.0 648198.33479 0.00468
110.0 01.0 963332.47153 0.00314
140.0 01.0 1231651.84785 0.00246
170.0 01.0 1494333.47669 0.00202
200.0 01.0 1765333.45324 0.00171
230.0 01.0 2031729.32211 0.00149
260.0 01.0 2300926.33619 0.00131
290.0 01.0 2569521.73842 0.00118
330.0 01.0 2918108.04461 0.00104
370.0 01.0 3273464.52068 0.00092
410.0 01.0 3632185.44009 0.00083
077.0 05.0 7035.34397 0.54889
110.0 05.0 178551.34158 0.01698
140.0 05.0 202685.69423 0.01469
170.0 05.0 294572.72130 0.01027
200.0 05.0 349837.56513 0.00865
230.0 05.0 405907.01196 0.00745
260.0 05.0 458780.19894 0.00659
290.0 05.0 512712.61261 0.00590
330.0 05.0 584659.46244 0.00517
370.0 05.0 655467.13716 0.00461
410.0 05.0 728095.87017 0.00415
077.0 10.0 3644.11383 0.81805
110.0 10.0 79534.72665 0.03837
140.0 10.0 114304.35095 0.02653
170.0 10.0 143740.01661 0.02108
200.0 10.0 173215.59525 0.01747
230.0 10.0 200059.54130 0.01512
260.0 10.0 229097.77457 0.01320
290.0 10.0 255208.86319 0.01185
330.0 10.0 292490.49889 0.01034
370.0 10.0 327133.62040 0.00924
410.0 10.0 364341.79438 0.00830
077.0 20.0 4185.15153 0.71135
110.0 20.0 4223.08972 0.70615
140.0 20.0 51545.12343 0.05920
170.0 20.0 68928.79767 0.04403
200.0 20.0 84322.52800 0.03591
230.0 20.0 99075.42978 0.03057
260.0 20.0 113329.47185 0.02667
290.0 20.0 127219.05132 0.02375
330.0 20.0 145335.23259 0.02080
370.0 20.0 163963.44847 0.01845
410.0 20.0 182919.31684 0.01652
077.0 30.0 3620.26750 0.82324
110.0 30.0 4253.06384 0.70178
140.0 30.0 44041.90277 0.08138
170.0 30.0 43743.37292 0.06946
200.0 30.0 54764.46073 0.05537
230.0 30.0 65086.98986 0.04651
260.0 30.0 75011.06433 0.04034
290.0 30.0 73683.79080 0.04040
330.0 30.0 97134.88271 0.03112
370.0 30.0 109828.40514 0.02753
410.0 30.0 122430.63266 0.02468
