N2
TRAPPE
66
#TEMP #PRES #V #DENSITY
077.0 00.1 6767985.14237 0.00045
110.0 00.1 9704642.85583 0.00031
140.0 00.1 12407757.55230 0.00024
170.0 00.1 15004778.09854 0.00020
200.0 00.1 17679927.95685 0.00017
230.0 00.1 20363017.47443 0.00015
260.0 00.1 23037312.92821 0.00013
290.0 00.1 25665477.84665 0.00012
330.0 00.1 29160914.29901 0.00010
370.0 00.1 32918213.59949 0.00009
410.0 00.1 36295476.29482 0.00008
077.0 01.0 654371.24419 0.00463
110.0 01.0 961112.01550 0.00315
140.0 01.0 1230624.60344 0.00246
170.0 01.0 1499396.70490 0.00202
200.0 01.0 1768215.43878 0.00171
230.0 01.0 2033721.00684 0.00149
260.0 01.0 2299171.85682 0.00131
290.0 01.0 2559010.79723 0.00118
330.0 01.0 2925072.66340 0.00103
370.0 01.0 3275444.05232 0.00092
410.0 01.0 3632147.31315 0.00083
077.0 05.0 3815.49576 0.78106
110.0 05.0 180467.42083 0.01680
140.0 05.0 239592.08642 0.01263
170.0 05.0 296068.81919 0.01022
200.0 05.0 350914.04695 0.00862
230.0 05.0 405778.72277 0.00745
260.0 05.0 458828.77984 0.00659
290.0 05.0 512822.32039 0.00590
330.0 05.0 586225.16658 0.00516
370.0 05.0 655332.11305 0.00461
410.0 05.0 728315.67236 0.00415
077.0 10.0 3784.70092 0.78782
110.0 10.0 82363.80219 0.03698
140.0 10.0 114942.10256 0.02637
170.0 10.0 145076.55622 0.02086
200.0 10.0 173613.98147 0.01743
230.0 10.0 201487.21999 0.01502
260.0 10.0 229086.32585 0.01320
290.0 10.0 255536.72170 0.01183
330.0 10.0 292405.94430 0.01034
370.0 10.0 328005.95483 0.00922
410.0 10.0 364098.75390 0.00831
077.0 20.0 3742.70749 0.79689
110.0 20.0 4932.10320 0.60776
140.0 20.0 52918.74798 0.05750
170.0 20.0 69845.38280 0.04341
200.0 20.0 85236.76980 0.03551
230.0 20.0 99739.77802 0.03033
260.0 20.0 114323.42830 0.02645
290.0 20.0 128112.06862 0.02362
330.0 20.0 146297.65820 0.02067
370.0 20.0 164854.49654 0.01834
410.0 20.0 182861.02559 0.01653
077.0 30.0 3855.40447 0.77267
110.0 30.0 4999.95486 0.59939
140.0 30.0 44277.29877 0.07241
170.0 30.0 44738.25324 0.06788
200.0 30.0 55696.50120 0.05441
230.0 30.0 65873.02652 0.04593
260.0 30.0 75553.34559 0.04002
290.0 30.0 85336.20276 0.03543
330.0 30.0 97995.98465 0.03085
370.0 30.0 110151.45120 0.02743
410.0 30.0 122353.10098 0.02471
