NE
NE
66
#TEMP #PRES #V #DENSITY
030.0 00.1 2647847.68417 0.00082
060.0 00.1 5320453.93879 0.00041
090.0 00.1 7965293.51115 0.00027
120.0 00.1 10620192.55239 0.00021
150.0 00.1 13297049.28087 0.00016
180.0 00.1 15939781.20720 0.00014
210.0 00.1 18614287.58944 0.00012
240.0 00.1 21261716.04856 0.00010
270.0 00.1 23944542.38456 0.00009
300.0 00.1 26551943.36704 0.00008
330.0 00.1 29269649.48064 0.00007
030.0 01.0 254977.49682 0.00855
060.0 01.0 528120.82436 0.00413
090.0 01.0 797236.42929 0.00273
120.0 01.0 1061866.48117 0.00205
150.0 01.0 1327945.27934 0.00164
180.0 01.0 1595464.50539 0.00137
210.0 01.0 1858291.49217 0.00117
240.0 01.0 2131606.42281 0.00102
270.0 01.0 2396903.85043 0.00091
300.0 01.0 2656197.78340 0.00082
330.0 01.0 2928743.66738 0.00074
030.0 05.0 1761.25906 1.21854
060.0 05.0 103224.41991 0.02112
090.0 05.0 158365.00394 0.01376
120.0 05.0 212780.44026 0.01023
150.0 05.0 265598.44151 0.00820
180.0 05.0 318923.10629 0.00683
210.0 05.0 372597.71093 0.00585
240.0 05.0 426513.68125 0.00511
270.0 05.0 479790.58762 0.00454
300.0 05.0 532199.59157 0.00409
330.0 05.0 585447.14190 0.00372
030.0 10.0 1778.38061 1.20700
060.0 10.0 50139.37664 0.04354
090.0 10.0 78614.21253 0.02772
120.0 10.0 106208.99751 0.02051
150.0 10.0 132972.10633 0.01637
180.0 10.0 160189.50470 0.01359
210.0 10.0 186567.99658 0.01167
240.0 10.0 213597.20061 0.01019
270.0 10.0 240325.91700 0.00906
300.0 10.0 266553.85154 0.00817
330.0 10.0 293556.50473 0.00742
030.0 20.0 1694.67629 1.26742
060.0 20.0 23562.06609 0.09288
090.0 20.0 38956.05519 0.05593
120.0 20.0 53092.14693 0.04104
150.0 20.0 66906.51100 0.03255
180.0 20.0 80475.44186 0.02707
210.0 20.0 94006.10979 0.02316
240.0 20.0 107600.67241 0.02023
270.0 20.0 120895.01320 0.01801
300.0 20.0 133861.60938 0.01626
330.0 20.0 147441.06998 0.01477
030.0 30.0 1732.35047 1.23894
060.0 30.0 14600.04243 0.15030
090.0 30.0 25631.17937 0.08506
120.0 30.0 35348.98500 0.06161
150.0 30.0 44660.41561 0.04874
180.0 30.0 53914.67846 0.04038
210.0 30.0 62940.68141 0.03459
240.0 30.0 71724.63908 0.03035
270.0 30.0 80874.15106 0.02692
300.0 30.0 89705.73091 0.02428
330.0 30.0 98375.65028 0.02213
