XE
XE
66
#TEMP #PRES #V #DENSITY
170.0 00.1 15019295.80750 0.00095
190.0 00.1 16811818.61352 0.00085
210.0 00.1 18571731.41861 0.00077
230.0 00.1 20343977.91244 0.00070
250.0 00.1 22121201.38061 0.00064
270.0 00.1 23898429.83563 0.00060
290.0 00.1 25649259.52020 0.00056
310.0 00.1 27450121.88730 0.00052
330.0 00.1 29251870.47159 0.00049
350.0 00.1 31030151.84819 0.00046
370.0 00.1 32761008.06409 0.00044
170.0 01.0 1465265.12939 0.00968
190.0 01.0 1651711.86661 0.00859
210.0 01.0 1833587.09145 0.00773
230.0 01.0 2016572.19181 0.00703
250.0 01.0 2195900.93330 0.00646
270.0 01.0 2369934.85362 0.00598
290.0 01.0 2549560.90423 0.00556
310.0 01.0 2735210.31555 0.00518
330.0 01.0 2907039.71940 0.00488
350.0 01.0 3095042.39068 0.00458
370.0 01.0 3265949.88530 0.00434
170.0 05.0 256165.77578 0.05576
190.0 05.0 302203.27866 0.04709
210.0 05.0 343918.39259 0.04133
230.0 05.0 383760.77884 0.03699
250.0 05.0 423457.36826 0.03352
270.0 05.0 461077.67906 0.03077
290.0 05.0 497664.96854 0.02852
310.0 05.0 534936.34957 0.02651
330.0 05.0 572674.84383 0.02476
350.0 05.0 608900.69031 0.02328
370.0 05.0 646736.66861 0.02193
170.0 10.0 10869.53937 2.31227
190.0 10.0 125463.47789 0.11545
210.0 10.0 155204.75141 0.09203
230.0 10.0 178887.73738 0.07963
250.0 10.0 200619.16717 0.07089
270.0 10.0 221381.37884 0.06421
290.0 10.0 241281.96692 0.05884
310.0 10.0 261105.31768 0.05438
330.0 10.0 280140.68981 0.05066
350.0 10.0 299462.98075 0.04737
370.0 10.0 318398.69477 0.04455
170.0 20.0 5590.26182 2.68057
190.0 20.0 5557.23881 2.57574
210.0 20.0 6024.36405 2.42462
230.0 20.0 71208.42973 0.20440
250.0 20.0 87614.91137 0.16364
270.0 20.0 100623.86838 0.14190
290.0 20.0 112739.68631 0.12638
310.0 20.0 123653.51669 0.11513
330.0 20.0 134086.55350 0.10605
350.0 20.0 144365.95666 0.09843
370.0 20.0 154668.01997 0.09180
170.0 30.0 5123.68855 2.76430
190.0 30.0 5414.55542 2.65216
210.0 30.0 5848.61610 2.43428
230.0 30.0 6240.54737 2.28061
250.0 30.0 9478.43577 1.93172
270.0 30.0 58546.12186 0.24680
290.0 30.0 68483.92491 0.20916
310.0 30.0 76770.66059 0.18598
330.0 30.0 85135.52593 0.16738
350.0 30.0 92584.13269 0.15374
370.0 30.0 99862.16101 0.14244
